team_year,year,team,conference,seed,overall,offense,defense,tier,finish
2023 Texas A&M Corpus Chris,2023,Texas A&M Corpus Chris,Southland,16,2.97,3.9,2.29,F,First Round
2024 Sam Houston St.,2024,Sam Houston St.,CUSA,15,2.91,2.83,3.3,F,First Round
2008 UT Arlington,2008,UT Arlington,Southland,16,2.9,3.11,2.93,F,First Round
2024 Kennesaw St.,2024,Kennesaw St.,ASUN,16,2.89,3.17,3.02,F,First Round
2017 New Orleans,2017,New Orleans,Southland,16,2.87,2.49,3.58,F,First Round
2024 Southern,2024,Southern,SWAC,15,2.85,2.52,3.51,F,First Round
2013 James Madison,2013,James Madison,CAA,16,2.84,2.36,3.65,F,First Round
2019 North Dakota St.,2019,North Dakota St.,Summit,16,2.8,4.14,1.86,F,First Round
2019 Iona,2019,Iona,MAAC,16,2.78,4.14,1.93,F,First Round
2012 Norfolk St.,2012,Norfolk St.,MEAC,15,2.74,2.59,3.29,F,Second Round
2009 Alabama St.,2009,Alabama St.,OVC,16,2.7,2.54,3.36,F,First Round
2017 Texas Southern,2017,Texas Southern,SWAC,16,2.7,3.51,2.41,F,First Round
2024 Saint Peter's,2024,Saint Peter's,MAAC,16,2.69,1.99,3.88,F,First Round
2021 Appalachian St.,2021,Appalachian St.,Sun Belt,16,2.66,2.55,3.35,F,First Round
2009 Chattanooga,2009,Chattanooga,Southern,16,2.66,4.22,1.5,F,First Round
2024 Denver,2024,Denver,Summit,15,2.63,4.86,0.98,F,First Round
2017 Mount St. Mary's,2017,Mount St. Mary's,NEC,16,2.62,2.19,3.62,F,First Round
2024 Merrimack,2024,Merrimack,NEC,16,2.61,1.6,4.15,F,First Round
2019 Fairleigh Dickinson,2019,Fairleigh Dickinson,NEC,16,2.58,3.91,1.9,F,First Round
2019 Prairie View A&M,2019,Prairie View A&M,SWAC,16,2.49,2.91,2.73,F,First Round
2017 UC Davis,2017,UC Davis,Big West,16,2.48,2.07,3.53,F,First Round
2011 Little Rock,2011,Little Rock,Sun Belt,16,2.46,2.64,2.98,F,First Round
2011 Hampton,2011,Hampton,MEAC,16,2.46,1.27,4.39,F,First Round
2021 Mount St. Mary's,2021,Mount St. Mary's,NEC,16,2.46,1.7,3.89,F,First Round
2023 Howard,2023,Howard,MEAC,16,2.45,3.02,2.6,F,First Round
2012 Western Kentucky,2012,Western Kentucky,Sun Belt,16,2.45,2.16,3.38,F,First Round
2014 Coastal Carolina,2014,Coastal Carolina,Big South,16,2.44,2.06,3.53,F,First Round
2021 Texas Southern,2021,Texas Southern,SWAC,16,2.43,2.47,3.12,F,First Round
2021 Norfolk St.,2021,Norfolk St.,MEAC,16,2.41,2.43,3.13,F,First Round
2015 Texas Southern,2015,Texas Southern,SWAC,15,2.4,3.18,2.37,F,First Round
2010 Winthrop,2010,Winthrop,Big South,16,2.35,0.2,5.46,F,First Round
2014 Mount St. Mary's,2014,Mount St. Mary's,NEC,16,2.3,4.6,0.76,F,First Round
2024 North Carolina Central,2024,North Carolina Central,MEAC,16,2.22,2.53,2.9,F,First Round
2016 Austin Peay,2016,Austin Peay,OVC,16,2.21,3.5,1.83,F,First Round
2016 Southern,2016,Southern,SWAC,16,2.21,2.59,2.75,F,First Round
2013 North Carolina A&T,2013,North Carolina A&T,MEAC,16,2.2,0.9,4.42,F,First Round
2011 UTSA,2011,UTSA,Southland,16,2.17,2.79,2.4,F,First Round
2024 Western Illinois,2024,Western Illinois,OVC,16,2.17,2.17,3.11,F,First Round
2014 Texas Southern,2014,Texas Southern,SWAC,16,2.14,4.42,0.84,F,First Round
2022 Texas A&M Corpus Chris,2022,Texas A&M Corpus Chris,Southland,16,2.08,2.06,3.09,F,First Round
2010 Arkansas Pine Bluff,2010,Arkansas Pine Bluff,SWAC,16,1.99,0.99,4.09,F,First Round
2018 Texas Southern,2018,Texas Southern,SWAC,16,1.93,3.7,1.37,F,First Round
2023 Southeast Missouri St.,2023,Southeast Missouri St.,OVC,16,1.84,2.53,2.39,F,First Round
2012 Mississippi Valley St.,2012,Mississippi Valley St.,SWAC,16,1.83,2.58,2.26,F,First Round
2015 Hampton,2015,Hampton,MEAC,16,1.8,2.08,2.72,F,First Round
2018 LIU,2018,LIU,NEC,16,1.8,3.08,1.79,F,First Round
2016 Hampton,2016,Hampton,MEAC,16,1.64,2.61,2.01,F,First Round
2023 Fairleigh Dickinson,2023,Fairleigh Dickinson,NEC,16,1.36,3.9,0.58,F,Second Round
2013 Liberty,2013,Liberty,Big South,16,1.32,2.58,1.68,F,First Round
2019 North Carolina Central,2019,North Carolina Central,MEAC,16,1.32,1.91,2.36,F,First Round
2016 Fairleigh Dickinson,2016,Fairleigh Dickinson,NEC,16,1.26,3.87,0.35,F,First Round
2023 Texas Southern,2023,Texas Southern,SWAC,16,1.23,1.47,2.7,F,First Round
2016 Holy Cross,2016,Holy Cross,Patriot,16,1.02,1.18,2.76,F,First Round
2018 North Carolina Central,2018,North Carolina Central,MEAC,16,1,1.89,2.03,F,First Round
2024 Lafayette,2024,Lafayette,Patriot,16,0.96,0.41,3.43,F,First Round
2011 Alabama St.,2011,Alabama St.,SWAC,16,0.44,0.25,2.94,F,First Round
2008 Coppin St.,2008,Coppin St.,MEAC,16,0.28,0.2,2.8,F,First Round
2008 Mississippi Valley St.,2008,Mississippi Valley St.,SWAC,16,0,0.13,2.5,F,First Round
