team_year,year,team,conference,seed,overall,offense,defense,tier,finish
2012 Long Beach St.,2012,Long Beach St.,Big West,12,6.22,5.21,4.89,C,First Round
2014 Massachusetts,2014,Massachusetts,A10,6,6.22,5.51,4.53,C,First Round
2018 San Diego St.,2018,San Diego St.,MWC,11,6.22,5.01,5.11,C,First Round
2011 Tennessee,2011,Tennessee,SEC,9,6.22,4.79,5.36,C,First Round
2024 Utah St.,2024,Utah St.,MWC,7,6.22,5.6,4.55,C,Second Round
2014 Kansas St.,2014,Kansas St.,Big 12,9,6.2,4.11,6.09,C,First Round
2023 Mississippi St.,2023,Mississippi St.,SEC,11,6.2,3.65,6.55,C,First Round
2015 Cincinnati,2015,Cincinnati,AAC,8,6.19,3.57,6.66,C,Second Round
2016 Dayton,2016,Dayton,A10,7,6.19,4.12,6.03,C,First Round
2009 Maryland,2009,Maryland,ACC,10,6.19,4.98,5.05,C,Second Round
2014 Providence,2014,Providence,Big East,11,6.19,5.81,4.27,C,First Round
2022 UAB,2022,UAB,CUSA,12,6.19,5.45,4.62,C,First Round
2008 Baylor,2008,Baylor,Big 12,11,6.18,7.05,2.88,C,First Round
2024 Miami FL,2024,Miami FL,ACC,9,6.18,6.17,3.88,C,Second Round
2022 Vermont,2022,Vermont,America East,13,6.18,5.38,4.6,D,First Round
2015 Dayton,2015,Dayton,A10,11,6.17,4.46,5.63,C,Second Round
2011 Georgia,2011,Georgia,SEC,10,6.17,4.54,5.5,C,First Round
2013 UCLA,2013,UCLA,Pac 12,6,6.17,5.91,4.07,C,First Round
2024 Princeton,2024,Princeton,Ivy,12,6.17,6.72,3.34,C,First Round
2016 Stephen F. Austin,2016,Stephen F. Austin,Southland,14,6.17,4.82,5.28,D,Second Round
2012 Harvard,2012,Harvard,Ivy,12,6.16,3.88,6.27,C,First Round
2009 Michigan,2009,Michigan,Big 10,10,6.16,5.02,5.05,C,Second Round
2012 NC St.,2012,NC St.,ACC,11,6.15,5.72,4.24,C,Sweet 16
2008 UNLV,2008,UNLV,MWC,8,6.15,4.63,5.43,C,Second Round
2009 Minnesota,2009,Minnesota,Big 10,10,6.12,4.07,6.04,C,First Round
2014 Stanford,2014,Stanford,Pac 12,10,6.12,5.44,4.57,C,Sweet 16
2024 Boise St.,2024,Boise St.,MWC,8,6.12,4.68,5.34,C,First Round
2019 Belmont,2019,Belmont,OVC,11,6.11,6.1,3.83,C,First Round
2012 BYU,2012,BYU,WCC,14,6.11,5.09,4.8,C,First Round
2022 Miami FL,2022,Miami FL,ACC,10,6.11,6.17,3.77,C,Elite Eight
2015 Mississippi,2015,Mississippi,SEC,11,6.11,6.01,3.89,C,First Round
2015 Stephen F. Austin,2015,Stephen F. Austin,Southland,12,6.11,5.88,4.05,C,First Round
2008 Vanderbilt,2008,Vanderbilt,SEC,4,6.11,6.24,3.61,C,First Round
2008 Villanova,2008,Villanova,Big East,12,6.11,5,4.93,C,Sweet 16
2013 La Salle,2013,La Salle,A10,13,6.1,5.34,4.59,C,Sweet 16
2011 USC,2011,USC,Pac 12,11,6.1,3.88,6.17,C,First Round
2016 Colorado,2016,Colorado,Pac 12,8,6.09,4.71,5.21,C,First Round
2017 Seton Hall,2017,Seton Hall,Big East,9,6.09,4.87,5.07,C,First Round
2019 Washington,2019,Washington,Pac 12,9,6.09,4.2,5.79,C,Second Round
2018 Alabama,2018,Alabama,SEC,9,6.08,4.44,5.55,C,Second Round
2009 Arizona,2009,Arizona,Pac 12,12,6.08,6.37,3.56,C,Sweet 16
2019 Murray St.,2019,Murray St.,OVC,12,6.08,5.43,4.46,C,Second Round
2017 Nevada,2017,Nevada,MWC,12,6.08,6.05,3.84,C,First Round
2009 Texas A&M,2009,Texas A&M,Big 12,9,6.08,5.12,4.79,C,First Round
2016 Texas Tech,2016,Texas Tech,Big 12,8,6.08,5.19,4.78,C,First Round
2024 Memphis,2024,Memphis,AAC,3,6.08,5.47,4.48,D,Second Round
2019 Minnesota,2019,Minnesota,Big 10,10,6.07,4.92,5,C,Second Round
2008 Western Kentucky,2008,Western Kentucky,Sun Belt,12,6.07,5.54,4.28,C,Sweet 16
2024 Providence,2024,Providence,Big East,11,6.07,3.99,5.99,C,First Round
2012 Iona,2012,Iona,MAAC,14,6.07,7.14,2.64,D,First Round
2016 USC,2016,USC,Pac 12,8,6.06,6.08,3.78,C,First Round
2009 VCU,2009,VCU,CAA,11,6.06,4.94,4.94,C,First Round
2023 Missouri,2023,Missouri,SEC,7,6.05,6.8,3.09,C,Second Round
2018 UCLA,2018,UCLA,Pac 12,11,6.05,6.18,3.71,C,First Round
2024 Kansas St.,2024,Kansas St.,Big 12,11,6.05,4.65,5.26,C,First Round
2013 Colorado,2013,Colorado,Pac 12,10,6.04,4.25,5.7,C,First Round
2012 Murray St.,2012,Murray St.,OVC,6,6.04,4.62,5.29,C,Second Round
2013 Villanova,2013,Villanova,Big East,9,6.04,4.37,5.53,C,First Round
2014 BYU,2014,BYU,WCC,10,6.03,6.68,3.06,C,First Round
2015 LSU,2015,LSU,SEC,9,6.03,5.18,4.62,C,First Round
2011 Penn St.,2011,Penn St.,Big 10,10,6.03,4.42,5.55,C,First Round
2015 Boise St.,2015,Boise St.,MWC,11,6.02,5.09,4.75,C,First Round
2014 Dayton,2014,Dayton,A10,11,6.02,5.5,4.36,C,Elite Eight
2022 Marquette,2022,Marquette,Big East,9,6.02,4.75,5.11,C,First Round
2017 Providence,2017,Providence,Big East,11,6.02,4.44,5.42,C,First Round
2023 VCU,2023,VCU,A10,12,6.02,3.92,6.01,C,First Round
2013 Davidson,2013,Davidson,Southern,14,6.02,5.59,4.23,D,First Round
2012 VCU,2012,VCU,CAA,12,6,4.29,5.57,C,Second Round
2024 Nebraska,2024,Nebraska,Big 10,10,5.99,5.82,4.02,C,First Round
2024 Northwestern,2024,Northwestern,Big 10,10,5.99,5.5,4.3,C,First Round
2013 Akron,2013,Akron,MAC,12,5.98,4.6,5.2,C,First Round
2013 Bucknell,2013,Bucknell,Patriot,11,5.98,3.96,5.92,C,First Round
2023 Drake,2023,Drake,MVC,12,5.98,4.74,5.06,C,First Round
2019 New Mexico St.,2019,New Mexico St.,WAC,12,5.97,5.45,4.31,C,First Round
2009 Boston College,2009,Boston College,ACC,7,5.96,5.96,3.75,C,First Round
2008 Kent St.,2008,Kent St.,MAC,9,5.96,4.28,5.54,C,First Round
2016 Providence,2016,Providence,Big East,9,5.96,4.8,4.98,C,Second Round
2014 Saint Joseph's,2014,Saint Joseph's,A10,10,5.96,5.17,4.62,C,First Round
2009 Utah St.,2009,Utah St.,WAC,11,5.96,5.59,4.24,C,First Round
2022 Creighton,2022,Creighton,Big East,9,5.95,3.94,5.88,C,Second Round
2014 North Dakota St.,2014,North Dakota St.,Summit,12,5.95,5.84,3.98,D,Second Round
2016 Little Rock,2016,Little Rock,Sun Belt,12,5.94,3.76,6.1,C,Second Round
2021 Georgetown,2021,Georgetown,Big East,12,5.94,4.45,5.32,C,First Round
2012 Notre Dame,2012,Notre Dame,Big East,7,5.94,4.43,5.37,C,First Round
2023 Iona,2023,Iona,MAAC,13,5.94,5.1,4.62,D,First Round
2017 Vermont,2017,Vermont,America East,13,5.94,5.09,4.65,D,First Round
2022 Colorado St.,2022,Colorado St.,MWC,6,5.93,5.73,3.98,C,First Round
2021 Colgate,2021,Colgate,Patriot,14,5.93,5.63,4.04,D,First Round
2017 Princeton,2017,Princeton,Ivy,12,5.92,4.76,4.95,C,First Round
2021 Drake,2021,Drake,MVC,11,5.91,5.66,4.02,C,First Round
2023 Nevada,2023,Nevada,MWC,11,5.9,5.04,4.64,C,First Round
2021 UC Santa Barbara,2021,UC Santa Barbara,Big West,12,5.9,4.98,4.67,C,First Round
2024 Oregon,2024,Oregon,Pac 12,11,5.89,5.77,3.89,C,First Round
2023 Arizona St.,2023,Arizona St.,Pac 12,11,5.87,4.14,5.55,C,First Round
2013 Temple,2013,Temple,A10,9,5.87,5.43,4.19,C,Second Round
2009 North Dakota St.,2009,North Dakota St.,Summit,14,5.87,6.46,3.08,D,First Round
2023 Charleston,2023,Charleston,CAA,12,5.86,5.01,4.62,D,First Round
2021 Michigan St.,2021,Michigan St.,Big 10,11,5.85,4.3,5.35,C,First Round
2018 New Mexico St.,2018,New Mexico St.,WAC,12,5.85,4.26,5.43,C,First Round
2011 UAB,2011,UAB,CUSA,12,5.85,4.27,5.4,C,First Round
2012 Xavier,2012,Xavier,A10,10,5.85,4.75,4.83,C,Sweet 16
2017 USC,2017,USC,Pac 12,11,5.84,5.57,4,C,Second Round
2018 Providence,2018,Providence,Big East,10,5.84,4.53,5.08,D,First Round
2019 Seton Hall,2019,Seton Hall,Big East,10,5.83,4.62,5,D,First Round
2011 Oakland,2011,Oakland,Summit,13,5.82,7.4,2.05,C,First Round
2017 UNC Wilmington,2017,UNC Wilmington,CAA,12,5.82,6.6,2.98,C,First Round
2023 Pittsburgh,2023,Pittsburgh,ACC,11,5.81,5.73,3.85,D,Second Round
2012 Davidson,2012,Davidson,Southern,13,5.8,5.83,3.61,C,First Round
2012 St. Bonaventure,2012,St. Bonaventure,A10,14,5.8,4.81,4.74,C,First Round
2015 Buffalo,2015,Buffalo,MAC,12,5.79,5.51,3.97,D,First Round
2009 Siena,2009,Siena,MAAC,9,5.78,5.71,3.69,C,Second Round
2011 UCLA,2011,UCLA,Pac 12,7,5.77,4.46,5.08,C,Second Round
2024 Grand Canyon,2024,Grand Canyon,WAC,11,5.75,5.38,4.12,D,First Round
2014 Colorado,2014,Colorado,Pac 12,8,5.74,4.42,5.08,C,First Round
2008 Temple,2008,Temple,A10,12,5.74,5.31,4.15,C,First Round
2018 Murray St.,2018,Murray St.,OVC,12,5.74,5.51,3.96,D,First Round
2022 South Dakota St.,2022,South Dakota St.,Summit,13,5.74,6.59,2.86,D,First Round
2022 Chattanooga,2022,Chattanooga,Southern,13,5.73,4.89,4.57,D,First Round
2016 Oregon St.,2016,Oregon St.,Pac 12,7,5.71,4.64,4.84,C,First Round
2023 Kent St.,2023,Kent St.,MAC,13,5.71,4.2,5.27,D,First Round
2018 St. Bonaventure,2018,St. Bonaventure,A10,11,5.71,5.18,4.28,D,First Round
2009 Mississippi St.,2009,Mississippi St.,SEC,13,5.7,4.89,4.49,C,First Round
2019 Arizona St.,2019,Arizona St.,Pac 12,11,5.7,4.78,4.66,D,First Round
2012 Southern Miss,2012,Southern Miss,CUSA,9,5.69,5.17,4.22,C,First Round
2021 North Texas,2021,North Texas,CUSA,13,5.66,4.17,5.2,D,Second Round
2014 Nebraska,2014,Nebraska,Big 10,11,5.65,4.19,5.23,C,First Round
2008 South Alabama,2008,South Alabama,Sun Belt,10,5.65,5.2,4.16,C,First Round
2012 San Diego St.,2012,San Diego St.,MWC,6,5.65,4.3,5.07,D,First Round
2009 Cleveland St.,2009,Cleveland St.,Horizon,13,5.64,3.27,6.18,D,Second Round
2008 Kentucky,2008,Kentucky,SEC,11,5.64,3.96,5.42,D,First Round
2021 Oregon St.,2021,Oregon St.,Pac 12,12,5.64,5.06,4.26,D,Elite Eight
2013 Valparaiso,2013,Valparaiso,Horizon,14,5.64,4.9,4.45,D,First Round
2015 Georgia St.,2015,Georgia St.,Sun Belt,14,5.63,4.93,4.38,D,Second Round
2016 Tulsa,2016,Tulsa,AAC,11,5.63,5.03,4.31,D,First Round
