"St. Francis PA",91.367379776614,113.31607154523,0.077567647859112,3–12,3,15,46,53.1,30.6,33.5,22.3,17.9,32.3,34.9,67.3,45.2,53.6,31.6,34.9,10.6,11.8,52.7,52.3,37.9,35.3,67.6,,,,2024,,,,-9.5366138380341,63.9,69.6
SMU,108.25294134329,91.156475835957,0.87833635976575,10–5,10,15,52,41.2,26.7,33.6,18.4,19.1,37.6,31.8,67.9,51.3,42.4,35.5,26.1,14.6,13,56.5,51.9,35.1,37.6,68.7,,,,2024,,,,-0.97345185933066,66,69.4
Richmond,107.10475640278,95.543853524373,0.78810718238706,11–5,11,16,53.5,45.7,24.1,26,12.2,17.7,18.6,26.9,68.1,52.9,46.7,36.4,29.5,8.7,7.6,47.9,49.1,37.2,41.7,67.7,,,,2024,,,,-1.205779952353,70.6,70.6
Providence,104.86653677181,91.0247307776,0.83588286918113,11–6,11,17,52,44.9,31.8,26.7,18.4,17.7,26.3,25.6,69.6,54.5,43.1,32.4,32.4,12.1,8.5,52.4,36.6,42.7,31.6,69.7,,,,2024,,,,-0.50036913575894,67.4,74
Louisville,103.9431364036,108.03900109646,0.39067984119661,6–10,6,16,48.3,52.1,40.6,31,17.6,16.9,30.8,28.3,70.4,48.3,53.9,32.1,32.8,8.1,9.5,46.1,54,32.4,38.3,70.3,,,,2024,,,,-6.0408976164658,74.6,74.2
Davidson,105.19638634512,100.92117245605,0.61706896672581,8–6,8,14,51.2,51.3,35.5,28.6,17,17,27.2,27.1,65.9,53.4,51.9,32.1,33.6,6.6,9.9,50.6,53.3,43.3,42.9,67.2,,,,2024,,,,-2.4505573071631,68.9,62.7
"North Florida",103.10948278018,111.25686965806,0.29430250241498,6–9,6,15,50.9,52.6,24.8,37.2,16.4,15.6,23.6,31.5,69.2,49.1,52.5,34.9,35.2,7.4,14.5,49.2,46.9,55.3,28.9,68.5,,,,2024,,,,-5.6039869468318,78.7,73.6
"Missouri St.",101.97879996063,99.084043602547,0.582041627078,10–7,10,17,50.5,45.3,35.3,23.8,18,13.8,27.1,25.3,69.4,53,46.2,31.4,29,11,8.6,50.8,43.8,42.9,34.4,69.7,,,,2024,,,,-3.4201150619232,70.7,72.4
Vanderbilt,100.43483056806,104.72117765632,0.38210774464964,5–11,5,16,46.2,50.7,34.4,30.3,16.2,16.2,27.4,25,68.3,48.3,47.2,28.9,37.9,8.1,9.3,43.3,50.2,42,36.8,67.9,,,,2024,,,,-6.5872643578721,71.6,77.3
"Utah Tech",98.936840325687,105.47902684318,0.32380273618921,6–9,6,15,50.1,49.4,37.5,40,21.3,18.5,26.6,33.4,70.9,47.5,49.4,36.5,33,12.5,11.6,52.7,49.9,35.3,37.7,70.7,,,,2024,,,,-5.3884475094069,63.5,69.2
