team_year,true_tempo,10pt_runs_per_game,10pt_runs_conceded_per_game,10pt_runs_total,10pt_runs_conceded_total,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2024 Oregon,69.85141941,0.4375,0.125,7,2,1.9366,-0.71,76.41,34.99,69.9,69.8923,68.5189,18.57142857,50.47619048,30.95238095,19.31818182,52.0979021,28.58391608,20.91,18.43,23.31,19.62,17.68,7.37,7.88,15.34,21.29,48.03,12.02,16.36,22.09,19.77,29.71
2024 Saint Mary's,64.3325373,0.944444444,0.388888889,17,7,1.81813,1.21,78.57,26.56,63.9,63.8247,62.9718,15.01976285,55.33596838,29.64426877,21.75115207,53.0875576,25.16129032,20.92,20.86,15.12,19.03,24,2.68,13.14,14.22,22.37,47.5,11.42,12.23,21.8,29.34,25.12
2024 Samford,75.4180452,1.066666667,0.4,16,6,2.12357,-0.34,75.9,46.36,76.5,76.515,75.2905,16.82945154,47.33283246,35.837716,22.00873362,47.33624454,30.65502183,12.37,16.01,26.54,19.29,25.72,9.72,7,19.49,22.35,41.34,12.68,11.5,24.75,20.78,30.18
2024 Eastern Washington,71.14949249,0.571428571,0.642857143,8,9,1.6151,0.53,78.03,33.85,70.7,70.742,70.1427,18.21596244,43.19248826,38.5915493,21.56133829,47.21189591,31.2267658,12.36,16.15,21.13,21.63,28.63,14.4,23.83,29.36,14.32,17.94,18.08,20.44,24.55,19.81,17.02
2024 Southern,72.40706927,0.384615385,0.692307692,5,9,0.820169,-1.57,75.72,41.17,71.5,71.6031,69.4218,17.00819672,51.63934426,31.35245902,21.36910268,51.43385754,27.19703978,14.85,30.9,15.17,17.42,21.45,10.76,8.55,6.89,25.51,47.94,14.83,19.34,18.92,18.94,27.76
2024 North Carolina Central,68.79490289,0.461538462,0.769230769,6,10,1.26806,-1.16,75.9,35.57,66.4,66.3214,67.2173,22.9527105,50.74971165,26.29757785,21.86147186,50.86580087,27.27272727,25.77,25.57,22.59,11.4,14.68,6.85,11.76,23.1,17.34,40.95,17.53,21.86,23.36,13.36,23.89
2024 Lafayette,68.03257547,0.0625,0.5,1,8,1.33267,0.77,77.38,33.22,67.4,67.3609,67.3105,15.39267016,52.56544503,32.04188482,18.81818182,47.63636364,33.54545455,15.83,16.08,18.17,22.51,27.29,11.94,7.67,25.81,19.14,35.34,12.22,18.69,24.45,19.81,24.72
2024 Connecticut,67.07555105,0.882352941,0.235294118,15,4,2.36182,1.37,78.24,30.49,67.2,67.1743,65.1587,18.05949008,49.85835694,32.08215297,22.62118492,50.44883303,26.92998205,13.55,22.06,21.5,19.39,23.42,15.32,11.24,17.06,18.91,37.33,13.63,16.85,25.64,20.45,23.35
2024 Wisconsin,66.41038437,0.4375,0.25,7,4,2.48832,1.89,78.39,29.69,65.7,65.7281,65.2071,20.8645054,52.70157938,26.43391521,16.92160612,51.24282983,31.83556405,14.43,18.31,27.07,19.47,20.61,7.48,8.63,12.7,35.03,35.99,14.37,17.14,17.42,22.39,28.52
2024 Duke,69.2202261,0.8125,0.25,13,4,1.72741,2.01,78.13,28.93,69,69.0469,68.1981,19.28353659,51.2195122,29.49695122,15.79943236,51.8448439,32.35572375,19.99,19.27,16.72,20.32,23.6,5.71,10.54,6.52,41.02,36.05,11.95,17.76,12.49,22.49,35.17
2024 TCU,72.38821546,0.875,0.25,14,4,3.30909,0.69,78.23,37.07,73,72.9812,71.9202,19.86607143,58.03571429,22.09821429,18.70967742,54.74654378,26.5437788,21.02,20.62,22.23,20.77,15.27,3.16,11.18,22.94,18.17,44.35,13.87,13.75,20.85,23.55,27.86
2024 Mississippi,68.53487488,0.3125,0.125,5,2,2.74746,1.81,77.73,25.5,69.2,69.1711,66.7753,19.3236715,50.72463768,29.95169082,17.71582734,51.79856115,30.48561151,21,23.29,18.18,23.95,13.48,3.25,9.53,17.91,30.31,38.84,11.92,16.28,18.99,26.54,26.14
2024 San Diego St.,69.03348209,0.733333333,0.2,11,3,2.49078,0.58,77.67,28.91,69.2,69.2446,68.0823,21.92139738,50.30567686,27.77292576,19.78764479,49.80694981,30.40540541,15.69,18.26,20.66,23.27,22,6.54,10.79,3.71,31.6,47.13,10.24,17.58,23.97,25.19,22.88
2024 Creighton,68.63169773,1,0.176470588,17,3,3.02503,2.5,78.61,22.22,67.8,67.7841,66.803,14.42236939,46.50478293,39.07284768,10.40358744,65.11210762,24.48430493,13.31,19.06,25.35,17.08,25.07,5.48,5.83,11.16,27.38,49.94,12.41,20.7,27.4,16.89,22.47
2024 Boise St.,69.03288873,0.428571429,0.142857143,6,2,1.98735,-0.01,78.39,28.64,67.5,67.4929,69.0124,19.89949749,50.25125628,29.84924623,19.9780461,56.64105379,23.38090011,10.16,21.18,20.01,24.83,23.82,3.15,9.86,18.26,27.99,40.74,20.56,16.53,17.99,20.35,24.57
2024 Texas A&M,67.27210205,0.666666667,0.133333333,10,2,2.45165,-0.34,77.39,33.03,66.6,66.6452,65.1531,22.09205021,51.0460251,26.86192469,18.86446886,44.32234432,36.81318681,29.41,20.88,18.59,12.25,18.78,6.33,12.98,15.86,32.55,32.04,14.63,16.37,17.13,24.35,27.35
2024 Wake Forest,69.46503293,0.75,0.5,12,8,1.91348,1.95,77.96,24.07,69.6,69.5846,68.5414,18.93353941,48.84080371,32.22565688,18.12443643,53.20108206,28.67448151,25.29,21.6,24.71,15.38,12.92,7.89,5.62,12.36,38.83,35.15,11.95,16.19,13.3,24.71,33.72
2024 Kansas St.,68.85994896,0.8,0.266666667,12,4,1.95382,0.7,76.77,24.51,68.1,67.9272,66.5371,21.03075644,48.54530341,30.42394015,16.65124884,49.76873265,33.5800185,22.22,19.62,20.64,19.84,17.59,5.63,11.51,16.25,34.39,32.08,11.03,12.55,20.8,29.32,26.17
2024 Ohio St.,68.06460748,0.875,0.3125,14,5,2.06682,0.02,77.55,31.07,67.2,67.1669,66.2585,19.12104857,49.65304549,31.22590594,16.00353669,54.2882405,29.70822281,24.49,20.66,13.82,21.01,19.88,4.05,11.47,25.95,15.91,42.49,13.95,21.04,19.22,15.57,30.08
