team_year,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2021 North Carolina,1.02,2.61,78.84,34.83,71.9,71.8804,71.8271,19.11966988,58.59697387,22.28335626,16.02564103,49.50690335,34.46745562,19.96,17.57,13.83,21.89,26.71,4.7,8.74,10.86,28.43,47.21,12.59,10.86,17.25,27.15,32.1
2022 North Carolina,1.76,1.52,78.26,19.82,70.2,70.2181,70.1492,18.36734694,49.24292298,32.38973009,13.77697842,53.74100719,32.48201439,21,20.72,10.45,22.22,25.61,6.1,3.48,18.42,21.38,50.62,15.16,11.71,15.48,21.05,36.59
2013 North Carolina A&T,2.39,-0.82,76.88,25.98,66.8,66.7884,64.8071,23.4206,48.0144,28.565,22.9567,45.824,31.2193,19.37,21.95,21.95,22.27,14.45,12.41,18.54,16.43,31.88,20.75,11.94,15.48,18.87,22.7,31.02
2014 North Carolina Central,2.58,-1.75,76.15,25.22,64.3,64.3021,62.708,26.4045,52.7226,20.8729,25.9585,46.2176,27.8238,11.32,22.38,26.8,22.93,16.57,8.74,10.43,12.11,41.95,26.76,18.87,15.66,16.47,25.44,23.57
2017 North Carolina Central,2.91,-1.5,75.77,27.56,68.2,68.1792,66.3643,18.79699248,51.48164529,29.72136223,16.53225806,54.73790323,28.72983871,20.76,16.05,28.1,21.31,13.72,6.26,6.75,14.05,27.31,45.55,12.5,12.68,25.31,25.61,23.82
2018 North Carolina Central,1.7,-0.27,76.23,35.32,67.8,67.8052,64.9456,17.01077199,58.07899461,24.91023339,20.4787234,48.67021277,30.85106383,15.67,17.99,17.56,21.63,27.14,6.4,10.72,16.78,29.08,36.99,11.67,11.02,13.06,33.82,30.41
2019 North Carolina Central,2.33,0.09,76.44,31.02,67.2,67.1363,65.2069,19.19239905,52.73159145,28.0760095,17.8807947,55.15610218,26.96310312,14.81,20.78,19.01,21.07,24.3,10.09,8.06,14.69,26.27,40.84,16.51,10.65,12.19,28.11,32.5
2017 North Dakota,1.83,-0.21,76.54,26,72.6,72.5927,71.25,19.69365427,53.91684902,26.38949672,21.33027523,52.66055046,26.00917431,26.74,21.28,17.85,17.3,16.82,10.73,11.06,11.54,36.61,30.04,17.8,16.71,18.55,17.55,29.37
2009 North Dakota St.,2.32,0.5,76.86,27.16,67.7,67.597,66.9142,20.384,52.5327,27.0833,17.6252,59.5547,22.82,31,15.24,22.35,19.02,12.39,6.81,10.68,24.74,27.35,30.41,16.03,18.91,24.71,20.6,19.75
2014 North Dakota St.,2.32,-0.12,77.81,22.08,64.1,64.0705,63.0184,22.4177,57.5553,20.0271,23.2856,46.0779,30.6364,17.48,14.93,23.97,23.53,20.09,9.46,23.81,16.71,20.39,29.63,17.58,17.45,24.3,22.76,17.92
2015 North Dakota St.,1.33,-2.69,76.64,24.7,61.4,61.4249,60.2617,19.9599,47.2417,32.7984,19.1412,50.5949,30.2638,23.67,22.01,16.99,21.62,15.71,10.23,11.28,15.9,28.33,34.27,18.83,19.64,22.43,22.15,16.94
2019 North Dakota St.,1.36,-0.37,76.57,36.59,66.5,66.4861,64.7859,18.77362453,41.15917682,40.06719866,15.54192229,53.41513292,31.04294479,23.52,16.45,15.86,19.62,24.53,5.06,5.37,19.03,29.85,40.68,16.3,14.31,17.63,25.03,26.7
2015 North Florida,1.8,1.33,77.61,24.51,67.6,67.5625,66.7256,21.1904,43.4783,35.3314,19.3651,58.8662,21.7687,22.56,17.73,19.42,21.64,18.66,11.44,9.8,30.96,23.2,24.6,11.7,12.39,23.81,28.44,23.66
2010 North Texas,1.91,-0.44,76.6,26.79,68.8,68.7368,67.1128,27.4051,51.015,21.5799,19.5044,59.0179,21.4777,21.38,16.64,21.3,22.7,17.98,7.84,16.11,8.46,30.1,37.5,7.16,15.84,15.7,27.38,33.92
2021 North Texas,2.47,-0.2,77.02,25.91,65.1,65.0818,63.0896,15.72668113,51.40997831,32.86334056,19.31613677,50.62987403,30.0539892,13.06,26.89,19.07,19.69,21.22,9.98,7.35,10.19,29.75,42.63,13.75,17.92,18.69,22.69,26.88
2015 Northeastern,1.81,-0.13,77.79,21.14,63.5,63.5304,63.0556,21.6103,52.9829,25.4068,14.7433,59.8508,25.4059,18.17,16.2,21.02,21.12,23.49,10.91,27.92,6.44,27.81,26.92,15.15,22.36,15.28,22.42,24.8
