year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,win,ovr_rating_bpi,ovr_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,reb%_off,ftr_off,to%_off,reb%_def,3p%_off,eff_off,ft%_def,eff_def,s_f,a_f
2010,South,First Round,4,2010 Purdue,13,2010 Siena,1,5.3,8.6803,5.384536794,1.8,3.852764502,0.8,18.8,-5.4,-4.2,-1,14.0233,4,-15.3002,0,0
2010,South,First Round,6,2010 Notre Dame,11,2010 Old Dominion,0,-1.9,0.727,7.800604641,0.8,-9.26058654,4.9,8.6,-6.6,-12.3,9.4,27.1327,9.9,0.042,0,0
2010,South,First Round,3,2010 Baylor,14,2010 Sam Houston St.,1,9.7,16.33197,20.58440836,-0.9,-5.481778064,7.9,-4.4,-0.5,-1.4,5,11.496,-3.3,-13.5972,0,1
2010,South,First Round,7,2010 Richmond,10,2010 Saint Mary's,0,0.5,-4.1784,3.720652564,-0.6,-8.777237923,-4.2,1.2,0.6,1.3,6.8,5.8527,-5.9,-22.7132,0,0
2010,South,First Round,2,2010 Villanova,15,2010 Robert Morris,1,15.2,24.80604,19.54901477,1.5,4.98454019,5.5,-2.9,-4.1,-2.6,5.3,17.1843,4.4,-0.52,0,0
2011,East,First Round,1,2011 Ohio St.,16,2011 UTSA,1,26.6,37.42544,27.7615824,12.3,7.921426177,1.9,0,-4.1,-1.8,7.7,16.337,0.8,-9.1266,1,0
2011,East,First Round,8,2011 George Mason,9,2011 Villanova,1,-1.3,0.0106,6.735752325,-1.5,-9.438391209,2.6,3.1,-1.5,-4.8,7.6,13.4513,-7.6,-15.4406,0,0
2011,East,First Round,5,2011 West Virginia,12,2011 Clemson,1,2.2,2.7275,3.327591761,6.1,-0.496506737,8,6,-4.3,1,1.3,15.5978,-0.2,-3.6244,0,0
2011,East,First Round,4,2011 Kentucky,13,2011 Princeton,1,11.9,16.45426,15.89627053,7.7,1.902082638,8.2,1.4,-2.5,-0.4,6.7,16.1768,-1.7,-11.3567,0,0
2011,East,First Round,6,2011 Xavier,11,2011 Marquette,0,-0.6,-1.5906,8.266539438,-2.8,-11.7466461,-0.5,15.7,-2.5,-8.3,-3,8.218,4,-13.3375,0,0
2011,East,First Round,3,2011 Syracuse,14,2011 Indiana St.,1,11,18.00755,8.870650384,7.2,7.658023275,7,-9.5,-1,2.2,2.8,12.4512,-5,-4.9412,0,1
2011,East,First Round,7,2011 Washington,10,2011 Georgia,1,4.1,10.2504,10.50289134,-3.7,-1.078765007,6.3,-2.6,-1.5,-5,4.9,17.4714,-2,-7.0284,0,0
2011,East,First Round,2,2011 North Carolina,15,2011 LIU,1,12.3,16.16337,12.8010685,-5.6,3.310487815,5,12.9,-1.2,-8.1,3.3,6.7116,0.5,-16.7223,0,1
2011,West,First Round,1,2011 Duke,16,2011 Hampton,1,21.9,33.34091,15.42910362,10.1,18.31267726,-0.6,0.7,-5.8,4,6.3,24.1237,-0.3,-6.5252,1,0
2011,West,First Round,8,2011 Michigan,9,2011 Tennessee,1,0.1,2.0528,3.381521188,3.3,-3.086859794,-7.1,-10.9,-4.5,-8.8,2.2,6.6763,-0.6,-2.472,0,0
2011,West,First Round,5,2011 Arizona,12,2011 Memphis,1,6.9,11.92156,11.93221991,-1.5,-0.635665452,-2,5.6,-2.4,-6.4,6.7,15.3439,-1.3,-3.897,0,0
