team_year,year,team,region,seed,finish,weekend,conference,logo
2010 Georgetown,2010,Georgetown,Midwest,3,First Round,1,Big East,
2011 Georgetown,2011,Georgetown,Southwest,6,First Round,1,Big East,
2012 Georgetown,2012,Georgetown,Midwest,3,Second Round,1,Big East,
2013 Georgetown,2013,Georgetown,South,2,First Round,1,Big East,
2015 Georgetown,2015,Georgetown,South,4,Second Round,1,Big East,
2021 Georgetown,2021,Georgetown,East,12,First Round,1,Big East,
2008 Georgia,2008,Georgia,West,14,First Round,1,SEC,
2011 Georgia,2011,Georgia,East,10,First Round,1,SEC,
2015 Georgia,2015,Georgia,East,10,First Round,1,SEC,
2015 Georgia St.,2015,Georgia St.,West,14,Second Round,1,Sun Belt,
2018 Georgia St.,2018,Georgia St.,South,15,First Round,1,Sun Belt,
2019 Georgia St.,2019,Georgia St.,Midwest,14,First Round,1,Sun Belt,
2022 Georgia St.,2022,Georgia St.,West,16,First Round,1,Sun Belt,
2010 Georgia Tech,2010,Georgia Tech,Midwest,10,Second Round,1,ACC,
2021 Georgia Tech,2021,Georgia Tech,Midwest,9,First Round,1,ACC,
2008 Gonzaga,2008,Gonzaga,Midwest,7,First Round,1,WCC,
2009 Gonzaga,2009,Gonzaga,South,4,Sweet 16,2,WCC,
2010 Gonzaga,2010,Gonzaga,West,8,Second Round,1,WCC,
2011 Gonzaga,2011,Gonzaga,Southeast,11,Second Round,1,WCC,
2012 Gonzaga,2012,Gonzaga,East,7,Second Round,1,WCC,
2013 Gonzaga,2013,Gonzaga,West,1,Second Round,1,WCC,
2014 Gonzaga,2014,Gonzaga,West,8,Second Round,1,WCC,
2015 Gonzaga,2015,Gonzaga,South,2,Elite Eight,2,WCC,
2016 Gonzaga,2016,Gonzaga,Midwest,11,Sweet 16,2,WCC,
2017 Gonzaga,2017,Gonzaga,West,1,Runner Up,3,WCC,
2018 Gonzaga,2018,Gonzaga,West,4,Sweet 16,2,WCC,
2019 Gonzaga,2019,Gonzaga,West,1,Elite Eight,2,WCC,
