game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20152311,2311,2015,East,Second Round,11,2015 Dayton,3,2015 Oklahoma,66,72,-6,138,0
20152312,2312,2015,East,Second Round,7,2015 Michigan St.,2,2015 Virginia,60,54,6,114,1
20152409,2409,2015,South,Second Round,1,2015 Duke,8,2015 San Diego St.,68,49,19,117,1
20152410,2410,2015,South,Second Round,5,2015 Utah,4,2015 Georgetown,75,64,11,139,1
20152411,2411,2015,South,Second Round,11,2015 UCLA,14,2015 UAB,92,75,17,167,1
20152412,2412,2015,South,Second Round,7,2015 Iowa,2,2015 Gonzaga,68,87,-19,155,0
20162109,2109,2016,South,Second Round,1,2016 Kansas,9,2016 Connecticut,73,61,12,134,1
20162110,2110,2016,South,Second Round,5,2016 Maryland,13,2016 Hawaii,73,60,13,133,1
20162111,2111,2016,South,Second Round,11,2016 Wichita St.,3,2016 Miami FL,57,65,-8,122,0
20162112,2112,2016,South,Second Round,7,2016 Iowa,2,2016 Villanova,68,87,-19,155,0
20162209,2209,2016,West,Second Round,1,2016 Oregon,8,2016 Saint Joseph's,69,64,5,133,1
20162210,2210,2016,West,Second Round,12,2016 Yale,4,2016 Duke,64,71,-7,135,0
20162211,2211,2016,West,Second Round,11,2016 Northern Iowa,3,2016 Texas A&M,88,92,-4,180,0
20162212,2212,2016,West,Second Round,10,2016 VCU,2,2016 Oklahoma,81,85,-4,166,0
20162309,2309,2016,East,Second Round,1,2016 North Carolina,9,2016 Providence,85,66,19,151,1
20162310,2310,2016,East,Second Round,5,2016 Indiana,4,2016 Kentucky,73,67,6,140,1
20162311,2311,2016,East,Second Round,6,2016 Notre Dame,14,2016 Stephen F. Austin,76,75,1,151,1
20162312,2312,2016,East,Second Round,7,2016 Wisconsin,2,2016 Xavier,66,63,3,129,1
20162409,2409,2016,Midwest,Second Round,1,2016 Virginia,9,2016 Butler,77,69,8,146,1
20162410,2410,2016,Midwest,Second Round,12,2016 Little Rock,4,2016 Iowa St.,61,78,-17,139,0
20162411,2411,2016,Midwest,Second Round,11,2016 Gonzaga,3,2016 Utah,82,59,23,141,1
20162412,2412,2016,Midwest,Second Round,10,2016 Syracuse,15,2016 Middle Tennessee,75,50,25,125,1
20172109,2109,2017,East,Second Round,1,2017 Villanova,8,2017 Wisconsin,62,65,-3,127,0
20172110,2110,2017,East,Second Round,5,2017 Virginia,4,2017 Florida,39,65,-26,104,0
20172111,2111,2017,East,Second Round,11,2017 USC,3,2017 Baylor,78,82,-4,160,0
20172112,2112,2017,East,Second Round,7,2017 South Carolina,2,2017 Duke,88,81,7,169,1
20172209,2209,2017,West,Second Round,1,2017 Gonzaga,8,2017 Northwestern,79,73,6,152,1
20172210,2210,2017,West,Second Round,5,2017 Notre Dame,4,2017 West Virginia,71,83,-12,154,0
20172211,2211,2017,West,Second Round,11,2017 Xavier,3,2017 Florida St.,91,66,25,157,1
20172212,2212,2017,West,Second Round,7,2017 Saint Mary's,2,2017 Arizona,60,69,-9,129,0
20172309,2309,2017,Midwest,Second Round,1,2017 Kansas,9,2017 Michigan St.,90,70,20,160,1
20172310,2310,2017,Midwest,Second Round,5,2017 Iowa St.,4,2017 Purdue,76,80,-4,156,0
20172311,2311,2017,Midwest,Second Round,11,2017 Rhode Island,3,2017 Oregon,72,75,-3,147,0
20172312,2312,2017,Midwest,Second Round,7,2017 Michigan,2,2017 Louisville,73,69,4,142,1
20172409,2409,2017,South,Second Round,1,2017 North Carolina,8,2017 Arkansas,72,65,7,137,1
20172410,2410,2017,South,Second Round,12,2017 Middle Tennessee,4,2017 Butler,65,74,-9,139,0
20172411,2411,2017,South,Second Round,6,2017 Cincinnati,3,2017 UCLA,67,79,-12,146,0
20172412,2412,2017,South,Second Round,10,2017 Wichita St.,2,2017 Kentucky,62,65,-3,127,0
20182109,2109,2018,South,Second Round,16,2018 UMBC,9,2018 Kansas St.,43,50,-7,93,0
20182110,2110,2018,South,Second Round,5,2018 Kentucky,13,2018 Buffalo,95,75,20,170,1
20182111,2111,2018,South,Second Round,11,2018 Loyola Chicago,3,2018 Tennessee,63,62,1,125,1
20182112,2112,2018,South,Second Round,7,2018 Nevada,2,2018 Cincinnati,75,73,2,148,1
20182209,2209,2018,West,Second Round,1,2018 Xavier,9,2018 Florida St.,70,75,-5,145,0
20182210,2210,2018,West,Second Round,5,2018 Ohio St.,4,2018 Gonzaga,84,90,-6,174,0
20182211,2211,2018,West,Second Round,6,2018 Houston,3,2018 Michigan,63,64,-1,127,0
20182212,2212,2018,West,Second Round,7,2018 Texas A&M,2,2018 North Carolina,86,65,21,151,1
20182309,2309,2018,East,Second Round,1,2018 Villanova,9,2018 Alabama,81,58,23,139,1
20182310,2310,2018,East,Second Round,5,2018 West Virginia,13,2018 Marshall,94,71,23,165,1
20182311,2311,2018,East,Second Round,6,2018 Florida,3,2018 Texas Tech,66,69,-3,135,0
20182312,2312,2018,East,Second Round,10,2018 Butler,2,2018 Purdue,73,76,-3,149,0
20182409,2409,2018,Midwest,Second Round,1,2018 Kansas,8,2018 Seton Hall,83,79,4,162,1
20182410,2410,2018,Midwest,Second Round,5,2018 Clemson,4,2018 Auburn,84,53,31,137,1
20182411,2411,2018,Midwest,Second Round,11,2018 Syracuse,3,2018 Michigan St.,55,53,2,108,1
20182412,2412,2018,Midwest,Second Round,7,2018 Rhode Island,2,2018 Duke,62,87,-25,149,0
20192109,2109,2019,East,Second Round,1,2019 Duke,9,2019 UCF,77,76,1,153,1
20192110,2110,2019,East,Second Round,12,2019 Liberty,4,2019 Virginia Tech,58,67,-9,125,0
20192111,2111,2019,East,Second Round,6,2019 Maryland,3,2019 LSU,67,69,-2,136,0
20192112,2112,2019,East,Second Round,10,2019 Minnesota,2,2019 Michigan St.,50,70,-20,120,0
20192209,2209,2019,West,Second Round,1,2019 Gonzaga,9,2019 Baylor,83,71,12,154,1
20192210,2210,2019,West,Second Round,12,2019 Murray St.,4,2019 Florida St.,62,90,-28,152,0
20192211,2211,2019,West,Second Round,6,2019 Buffalo,3,2019 Texas Tech,58,78,-20,136,0
20192212,2212,2019,West,Second Round,10,2019 Florida,2,2019 Michigan,49,64,-15,113,0
20192309,2309,2019,South,Second Round,1,2019 Virginia,9,2019 Oklahoma,63,51,12,114,1
20192310,2310,2019,South,Second Round,12,2019 Oregon,13,2019 UC Irvine,73,54,19,127,1
20192311,2311,2019,South,Second Round,6,2019 Villanova,3,2019 Purdue,61,87,-26,148,0
20192312,2312,2019,South,Second Round,10,2019 Iowa,2,2019 Tennessee,77,83,-6,160,0
20192409,2409,2019,Midwest,Second Round,1,2019 North Carolina,9,2019 Washington,81,59,22,140,1
20192410,2410,2019,Midwest,Second Round,5,2019 Auburn,4,2019 Kansas,89,75,14,164,1
20192411,2411,2019,Midwest,Second Round,11,2019 Ohio St.,3,2019 Houston,59,74,-15,133,0
20192412,2412,2019,Midwest,Second Round,7,2019 Wofford,2,2019 Kentucky,56,62,-6,118,0
20212109,2109,2021,West,Second Round,1,2021 Gonzaga,8,2021 Oklahoma,87,71,16,158,1
20212110,2110,2021,West,Second Round,5,2021 Creighton,13,2021 Ohio,72,58,14,130,1
20212111,2111,2021,West,Second Round,6,2021 USC,3,2021 Kansas,85,51,34,136,1
20212112,2112,2021,West,Second Round,7,2021 Oregon,2,2021 Iowa,95,80,15,175,1
20212209,2209,2021,East,Second Round,1,2021 Michigan,8,2021 LSU,86,76,10,162,1
20212210,2210,2021,East,Second Round,5,2021 Colorado,4,2021 Florida St.,53,71,-18,124,0
20212211,2211,2021,East,Second Round,11,2021 UCLA,14,2021 Abilene Christian,67,47,20,114,1
20212212,2212,2021,East,Second Round,10,2021 Maryland,2,2021 Alabama,77,96,-19,173,0
20212309,2309,2021,South,Second Round,1,2021 Baylor,9,2021 Wisconsin,76,63,13,139,1
20212310,2310,2021,South,Second Round,5,2021 Villanova,13,2021 North Texas,84,61,23,145,1
20212311,2311,2021,South,Second Round,6,2021 Texas Tech,3,2021 Arkansas,66,68,-2,134,0
20212312,2312,2021,South,Second Round,7,2021 Florida,15,2021 Oral Roberts,78,81,-3,159,0
20212409,2409,2021,Midwest,Second Round,1,2021 Illinois,8,2021 Loyola Chicago,58,71,-13,129,0
20212410,2410,2021,Midwest,Second Round,12,2021 Oregon St.,4,2021 Oklahoma St.,80,70,10,150,1
20212411,2411,2021,Midwest,Second Round,11,2021 Syracuse,3,2021 West Virginia,75,72,3,147,1
20212412,2412,2021,Midwest,Second Round,10,2021 Rutgers,2,2021 Houston,60,63,-3,123,0
20222109,2109,2022,West,Second Round,1,2022 Gonzaga,9,2022 Memphis,82,78,4,160,1
20222110,2110,2022,West,Second Round,12,2022 New Mexico St.,4,2022 Arkansas,48,53,-5,101,0
20222111,2111,2022,West,Second Round,11,2022 Notre Dame,3,2022 Texas Tech,53,59,-6,112,0
20222112,2112,2022,West,Second Round,7,2022 Michigan St.,2,2022 Duke,76,85,-9,161,0
20222209,2209,2022,East,Second Round,1,2022 Baylor,8,2022 North Carolina,86,93,-7,179,0
20222210,2210,2022,East,Second Round,5,2022 Saint Mary's,4,2022 UCLA,56,72,-16,128,0
20222211,2211,2022,East,Second Round,6,2022 Texas,3,2022 Purdue,71,81,-10,152,0
20222212,2212,2022,East,Second Round,7,2022 Murray St.,15,2022 Saint Peter's,60,70,-10,130,0
20222309,2309,2022,South,Second Round,1,2022 Arizona,9,2022 TCU,85,80,5,165,1
20222310,2310,2022,South,Second Round,5,2022 Houston,4,2022 Illinois,68,53,15,121,1
20222311,2311,2022,South,Second Round,11,2022 Michigan,3,2022 Tennessee,76,68,8,144,1
20222312,2312,2022,South,Second Round,7,2022 Ohio St.,2,2022 Villanova,61,71,-10,132,0
20222409,2409,2022,Midwest,Second Round,1,2022 Kansas,9,2022 Creighton,79,72,7,151,1
20222410,2410,2022,Midwest,Second Round,12,2022 Richmond,4,2022 Providence,51,79,-28,130,0
20222411,2411,2022,Midwest,Second Round,11,2022 Iowa St.,3,2022 Wisconsin,54,49,5,103,1
20222412,2412,2022,Midwest,Second Round,10,2022 Miami FL,2,2022 Auburn,79,61,18,140,1
20232109,2109,2023,South,Second Round,1,2023 Alabama,8,2023 Maryland,73,51,22,124,1
20232110,2110,2023,South,Second Round,5,2023 San Diego St.,13,2023 Furman,75,52,23,127,1
20232111,2111,2023,South,Second Round,6,2023 Creighton,3,2023 Baylor,85,76,9,161,1
20232112,2112,2023,South,Second Round,7,2023 Missouri,15,2023 Princeton,63,78,-15,141,0
20232209,2209,2023,East,Second Round,16,2023 Fairleigh Dickinson,9,2023 Florida Atlantic,70,78,-8,148,0
20232210,2210,2023,East,Second Round,5,2023 Duke,4,2023 Tennessee,52,65,-13,117,0
20232211,2211,2023,East,Second Round,6,2023 Kentucky,3,2023 Kansas St.,69,75,-6,144,0
20232212,2212,2023,East,Second Round,7,2023 Michigan St.,2,2023 Marquette,69,60,9,129,1
20232309,2309,2023,Midwest,Second Round,1,2023 Houston,9,2023 Auburn,81,64,17,145,1
20232310,2310,2023,Midwest,Second Round,5,2023 Miami FL,4,2023 Indiana,85,69,16,154,1
20232311,2311,2023,Midwest,Second Round,11,2023 Pittsburgh,3,2023 Xavier,73,84,-11,157,0
20232312,2312,2023,Midwest,Second Round,10,2023 Penn St.,2,2023 Texas,66,71,-5,137,0
20232409,2409,2023,West,Second Round,1,2023 Kansas,8,2023 Arkansas,71,72,-1,143,0
20232410,2410,2023,West,Second Round,5,2023 Saint Mary's,4,2023 Connecticut,55,70,-15,125,0
20232411,2411,2023,West,Second Round,6,2023 TCU,3,2023 Gonzaga,81,84,-3,165,0
20232412,2412,2023,West,Second Round,7,2023 Northwestern,2,2023 UCLA,63,68,-5,131,0
